state,year,price,population,population16,cpi,ndi,c,pimin,c_1,price_1,ndi_1,pimin_1
1,64,29.8,3431,2276.7,31,1684.073,95.4,27.5,93.9,28.6,1558.305,26.1
1,65,29.8,3486,2327.5,31.5,1809.842,98.5,28.9,95.4,29.8,1684.073,27.5
1,66,31.5,3524,2369.7,32.4,1915.16,96.4,29.5,98.5,29.8,1809.842,28.9
1,67,31.6,3533,2393.7,33.4,2023.546,95.5,29.6,96.4,31.5,1915.16,29.5
1,68,35.6,3522,2405.2,34.8,2202.486,88.4,32,95.5,31.6,2023.546,29.6
1,69,36.6,3531,2411.9,36.7,2377.335,90.1,32.8,88.4,35.6,2202.486,32
1,70,39.6,3444,2394.6,38.8,2591.039,89.8,34.3,90.1,36.6,2377.335,32.8
1,71,42.7,3481,2443.5,40.5,2785.316,95.4,35.8,89.8,39.6,2591.039,34.3
1,72,42.3,3511,2484.7,41.8,3034.808,101.1,37.4,95.4,42.7,2785.316,35.8
1,73,42.1,3540,2526,44.4,3387.574,102.9,37.3,101.1,42.3,3034.808,37.4
1,74,43.1,3574,2573.9,49.3,3718.867,108.2,41.4,102.9,42.1,3387.574,37.3
1,75,46.6,3614,2623.7,53.8,4087.993,111.7,43,108.2,43.1,3718.867,41.4
1,76,50.4,3657,2677.4,56.9,4486.772,116.2,46.4,111.7,46.6,4087.993,43
1,77,50.1,3690,2719.6,60.6,4899.866,117.1,48.8,116.2,50.4,4486.772,46.4
1,78,55.1,3728,2764.6,65.2,5450.999,123,53.6,117.1,50.1,4899.866,48.8
1,79,56.8,3769,2810.7,72.6,5957.141,121.4,56.5,123,55.1,5450.999,53.6
1,80,60.6,3894,2898.9,82.4,6466.35,123.2,59.3,121.4,56.8,5957.141,56.5
1,81,68.8,3917,2924.7,90.9,7042.023,119.6,62.6,123.2,60.6,6466.35,59.3
1,82,73.1,3943,2953.5,96.5,7505.22,119.1,67.8,119.6,68.8,7042.023,62.6
1,83,84.4,3959,2977.5,99.6,7974.552,116.3,78.6,119.1,73.1,7505.22,67.8
1,84,90.8,3990,3009.1,103.9,8693.376,113,86.8,116.3,84.4,7974.552,78.6
1,85,99,4020,3039.8,107.6,9059.435,114.5,90.7,113,90.8,8693.376,86.8
1,86,103,4050,3072.4,109.6,9674.985,116.3,98.8,114.5,99,9059.435,90.7
1,87,110,4083,3104,113.6,10213.85,114,103.5,116.3,103,9674.985,98.8
1,88,114.4,4102,3124,118.3,10993,112.1,109.2,114,110,10213.85,103.5
1,89,122.3,4118,3140,124,11634,105.6,121.5,112.1,114.4,10993,109.2
1,90,139.1,4129.2,3148.6,130.7,12806,108.6,132.3,105.6,122.3,11634,121.5
1,91,144.4,4178.3,3185.1,136.2,13360,107.9,137.4,108.6,139.1,12806,132.3
1,92,172.2,4226.3,3226.7,140.3,14533,109.1,159.5,107.9,144.4,13360,137.4
3,64,24,1549,1005.6,31,2063.516,121,25.5,125,23.9,1944.745,24.9
3,65,24.2,1575,1024.9,31.5,2162.664,123.2,25.3,121,24,2063.516,25.5
3,66,29.6,1609,1051.9,32.4,2318.615,113.9,25.5,123.2,24.2,2162.664,25.3
3,67,29.2,1637,1078.9,33.4,2446.681,117.1,26,113.9,29.6,2318.615,25.5
3,68,31.3,1667,1106,34.8,2720.371,115.6,32.3,117.1,29.2,2446.681,26
3,69,36.1,1693,1117.5,36.7,2979.601,113.8,33.3,115.6,31.3,2720.371,32.3
3,70,37.1,1772,1226.6,38.8,3269.816,115.2,34.6,113.8,36.1,2979.601,33.3
3,71,38.5,1878,1313.5,40.5,3549.702,109.6,36.6,115.2,37.1,3269.816,34.6
3,72,38,1975,1393.6,41.8,3800.67,125,37.2,109.6,38.5,3549.702,36.6
3,73,38.7,2075,1476.5,44.4,4219.983,128.3,36.5,125,38,3800.67,37.2
3,74,39.2,2156,1547,49.3,4508.132,133.1,37.8,128.3,38.7,4219.983,36.5
3,75,47.7,2200,1591.4,53.8,4742.575,121.8,40.5,133.1,39.2,4508.132,37.8
3,76,49.1,2244,1635.8,56.9,5158.79,122.3,43.4,121.8,47.7,4742.575,40.5
3,77,48.7,2304,1690.8,60.6,5567.775,121.7,44.7,122.3,49.1,5158.79,43.4
3,78,53.6,2373,1750.6,65.2,6283.499,124.7,49.5,121.7,48.7,5567.775,44.7
3,79,58.6,2450,1812.4,72.6,7099.404,124.6,53.7,124.7,53.6,6283.499,49.5
3,80,60.8,2718,2044,82.4,7823.39,126.8,57.2,124.6,58.6,7099.404,53.7
3,81,63.3,2794,2103.8,90.9,8647.558,113.8,62.7,126.8,60.8,7823.39,57.2
3,82,73.3,2860,2153.1,96.5,8879.936,113.5,68.1,113.8,63.3,8647.558,62.7
3,83,80.5,2963,2231.2,99.6,9579.135,111.1,79.6,113.5,73.3,8879.936,68.1
3,84,92.8,3053,2300.7,103.9,10549.96,107.1,90.2,111.1,80.5,9579.135,79.6
3,85,98.8,3161,2384.7,107.6,11256.39,107.1,97.5,107.1,92.8,10549.96,90.2
3,86,106.7,3279,2483.1,109.6,11796.54,107.9,101.2,107.1,98.8,11256.39,97.5
3,87,113.5,3386,2569,113.6,12367.67,106.1,103.9,107.9,106.7,11796.54,101.2
3,88,113.5,3489,2638,118.3,13008,102.2,113.7,106.1,113.5,12367.67,103.9
3,89,125.6,3556,2672,124,13625,96.8,126.4,102.2,113.5,13008,113.7
3,90,130.2,3598.2,2703.7,130.7,13826,88.9,133.6,96.8,125.6,13625,126.4
3,91,151.4,3681.7,2759.1,136.2,14232,81.2,146.9,88.9,130.2,13826,133.6
3,92,165.7,3762.2,2804.8,140.3,15179,79,165.4,81.2,151.4,14232,146.9
4,64,27.3,1939,1320.7,31,1610.08,102.6,25.7,103.4,27,1480.333,25.8
4,65,27.2,1941,1323.6,31.5,1710.199,100.3,26.1,102.6,27.3,1610.08,25.7
4,66,30.3,1963,1344.8,32.4,1883.875,98.9,26.2,100.3,27.2,1710.199,26.1
4,67,30.4,1972,1357.3,33.4,2004.427,102.9,27.5,98.9,30.3,1883.875,26.2
4,68,30.9,1983,1374.6,34.8,2143.368,104,29.2,102.9,30.4,2004.427,27.5
4,69,30.9,1995,1389,36.7,2286.395,102.9,29.9,104,30.9,2143.368,29.2
4,70,36.7,1923,1366.9,38.8,2493.785,100.3,34.3,102.9,30.9,2286.395,29.9
4,71,38.8,1961,1405.4,40.5,2710.369,104.1,36.8,100.3,36.7,2493.785,34.3
4,72,44.1,1999,1442.9,41.8,2950.451,103.9,37.4,104.1,38.8,2710.369,36.8
4,73,45.1,2030,1474.6,44.4,3410.182,108,37.3,103.9,44.1,2950.451,37.4
4,74,45.5,2063,1508.3,49.3,3807.594,109.7,38,108,45.1,3410.182,37.3
4,75,48.6,2112,1552.5,53.8,4057.891,114.8,43,109.7,45.5,3807.594,38
4,76,50.9,2113,1565.1,56.9,4362.335,119.1,44.7,114.8,48.6,4057.891,43
4,77,52.6,2143,1596.8,60.6,4859.866,122.6,45.9,119.1,50.9,4362.335,44.7
4,78,56.5,2167,1623.7,65.2,5467.733,127.3,49.9,122.6,52.6,4859.866,45.9
4,79,58.4,2180,1641,72.6,6015.323,126.5,52.2,127.3,56.5,5467.733,49.9
4,80,61.5,2286,1715.1,82.4,6278.902,131.8,57.3,126.5,58.4,6015.323,52.2
4,81,64.7,2296,1725.7,90.9,7101.31,128.7,59.9,131.8,61.5,6278.902,57.3
4,82,72.1,2291,1724.7,96.5,7390.43,127.4,64.7,128.7,64.7,7101.31,59.9
4,83,82,2328,1757.4,99.6,7886.939,128,74.8,127.4,72.1,7390.43,64.7
4,84,93.6,2349,1776.7,103.9,8546.908,123.1,84.8,128,82,7886.939,74.8
4,85,98.5,2359,1790.1,107.6,9134.342,125.8,92.5,123.1,93.6,8546.908,84.8
4,86,103.6,2371,1804.6,109.6,9550.144,126,98.8,125.8,98.5,9134.342,92.5
4,87,113,2388,1819,113.6,9886.258,122.3,103.5,126,103.6,9550.144,98.8
4,88,119.9,2395,1823,118.3,10630,121.5,112.1,122.3,113,9886.258,103.5
4,89,127.7,2406,1831,124,11243,118.3,118.9,121.5,119.9,10630,112.1
4,90,141.2,2411.1,1834.9,130.7,12370,113.1,129.1,118.3,127.7,11243,118.9
4,91,146.5,2432.7,1851.2,136.2,12917,116.8,132.5,113.1,141.2,12370,129.1
4,92,177.3,2460.4,1876.7,140.3,13879,126,153.1,116.8,146.5,12917,132.5
5,64,25.5,18003,12384.3,31,2974.929,138.3,24,142,25.3,2776.097,23.9
5,65,25.3,18403,12673.3,31.5,3107.845,140,24.2,138.3,25.5,2974.929,24
5,66,25.5,18669,12898.5,32.4,3296.952,136.8,29.6,140,25.3,3107.845,24.2
5,67,26,18992,13181.8,33.4,3462.286,135.8,29.2,136.8,25.5,3296.952,29.6
5,68,35.4,19179,13370.3,34.8,3690.296,124.3,31.3,135.8,26,3462.286,29.2
5,69,36.6,19443,13681.6,36.7,3919.386,123.9,33.3,124.3,35.4,3690.296,31.3
5,70,38.8,19953,14317.6,38.8,4192.781,123,37.1,123.9,36.6,3919.386,33.3
5,71,39.7,20266,14670.5,40.5,4414.307,121,38.5,123,38.8,4192.781,37.1
5,72,39.9,20447,14938.3,41.8,4650.961,123.5,38,121,39.7,4414.307,38.5
5,73,39.9,20670,15243.7,44.4,5103.738,124.4,38.7,123.5,39.9,4650.961,38
5,74,41.9,20915,15566.6,49.3,5607.304,126.7,39.2,124.4,39.9,5103.738,38.7
5,75,45,21216,15933,53.8,6138.966,127.1,44.5,126.7,41.9,5607.304,39.2
5,76,48.3,21550,16318.7,56.9,6630.646,128,44.9,127.1,45,6138.966,44.5
5,77,49,21900,16697.6,60.6,7234.708,126.4,48.7,128,48.3,6630.646,44.9
5,78,58.7,22314,17117.2,65.2,8021.396,126.1,53.6,126.4,49,7234.708,48.7
5,79,60.1,22694,17481.6,72.6,8957.207,121.9,57.1,126.1,58.7,8021.396,53.6
5,80,62.1,23669,20853.4,82.4,9891.938,120.2,60.8,121.9,60.1,8957.207,57.1
5,81,66.4,24196,18670.6,90.9,10816.94,118.6,63.3,120.2,62.1,9891.938,60.8
5,82,72.8,24724,19064.1,96.5,11361.57,115.4,71.6,118.6,66.4,10816.94,63.3
5,83,84.9,25174,19419.8,99.6,12027.23,110.8,80.5,115.4,72.8,11361.57,71.6
5,84,94.9,25622,19776.5,103.9,13019.23,104.8,92.8,110.8,84.9,12027.23,80.5
5,85,98,26358,20215.4,107.6,13755.13,102.8,98.8,104.8,94.9,13019.23,92.8
5,86,104.4,27001,20695.9,109.6,14350.55,99.7,106.6,102.8,98,13755.13,98.8
5,87,103.9,27663,21156,113.6,15016.21,97.5,113.5,99.7,104.4,14350.55,106.6
5,88,117.4,28314,21591,118.3,16059,90.1,113.5,97.5,103.9,15016.21,113.5
5,89,126.4,29063,22081,124,16779,82.4,125.6,90.1,117.4,16059,113.5
5,90,163.8,29602.1,22490.6,130.7,17384,77.8,130.2,82.4,126.4,16779,125.6
