id,year,gsp,pcap,hwy,water,util,pc,emp,unemp
1,1970,28418,15032.67,7325.8,1655.68,6051.2,35793.8,1010.5,4.7
1,1971,29375,15501.94,7525.94,1721.02,6254.98,37299.91,1021.9,5.2
1,1972,31303,15972.41,7765.42,1764.75,6442.23,38670.3,1072.3,4.7
1,1973,33430,16406.26,7907.66,1742.41,6756.19,40084.01,1135.5,3.9
1,1974,33749,16762.67,8025.52,1734.85,7002.29,42057.31,1169.8,5.5
1,1975,33604,17316.26,8158.23,1752.27,7405.76,43971.71,1155.4,7.7
1,1976,35764,17732.86,8228.19,1799.74,7704.93,50221.57,1207,6.8
1,1977,37463,18111.93,8365.67,1845.11,7901.15,51084.99,1269.2,7.4
1,1978,39964,18479.74,8510.64,1960.51,8008.59,52604.05,1336.5,6.3
1,1979,40979,18881.49,8640.61,2081.91,8158.97,54525.86,1362,7.1
1,1980,40380,19012.34,8663.5,2138.52,8210.33,56589.16,1356.1,8.8
1,1981,41105,19118.52,8628.83,2218.91,8270.79,56481.93,1347.6,11
1,1982,40328,19118.25,8645.14,2215.84,8257.26,58021.69,1312.5,14
1,1983,42245,19122,8612.47,2230.91,8278.63,58893.97,1328.8,14
1,1984,45118,19257.47,8655.94,2235.16,8366.37,59446.86,1387.7,11
1,1985,46849,19433.36,8726.24,2253.03,8454.09,60688.04,1427.1,8.9
1,1986,48409,19723.37,8813.24,2308.99,8601.14,61628.88,1463.3,9.8
2,1970,19288,10148.42,4556.81,1627.87,3963.75,23585.99,547.4,4.4
2,1971,21040,10560.54,4701.97,1627.34,4231.23,24924.82,581.4,4.7
2,1972,23289,10977.53,4847.84,1614.58,4515.11,26058.65,646.3,4.2
2,1973,25244,11598.26,4963.46,1647.88,4986.92,27304.64,714.5,4.1
2,1974,25698,12129.06,5071.38,1678,5379.69,28829.44,746,5.6
2,1975,24915,12929.06,5163.41,1764.87,6000.77,30243.29,729.1,12
2,1976,26041,13603.89,5249.82,1910.43,6443.63,29384.15,758.7,9.8
2,1977,28110,14175.42,5358.45,1973.48,6843.5,30072.6,809.3,8.2
2,1978,31062,14812.04,5470,2038.3,7303.73,31139.49,895.4,6.1
2,1979,33943,15547.62,5603.12,2132.49,7812.01,32377.41,979.9,5.1
2,1980,34708,16344.9,5720.38,2165.64,8458.88,33769.92,1014,6.7
2,1981,35244,17088.3,5816.05,2265.42,9006.84,36387.15,1040.8,6.1
2,1982,33603,17650.57,5918.5,2377.2,9354.87,37332.09,1029.8,9.9
2,1983,35963,18108.24,6019.87,2513.38,9574.99,37829.83,1077.8,9.1
2,1984,40010,18792.09,6101.45,2574.78,10115.86,38330.02,1181.9,5
2,1985,43350,19414.85,6282.51,2737.37,10394.97,39246.83,1278.6,6.5
2,1986,46058,20212.42,6553.4,2923.15,10735.88,44189.19,1337.8,6.9
3,1970,15392,7613.26,3647.73,644.99,3320.54,19749.63,536.2,5
3,1971,16177,7982.03,3686.95,651.63,3643.44,20636.47,551,5.4
3,1972,17702,8309.01,3780.05,668.5,3860.47,21245.48,581.5,4.6
3,1973,18825,8399.59,3894.77,691.76,3813.06,21654.02,614.5,4.1
3,1974,19287,8512.05,3985.99,726.62,3799.44,22635.84,640.7,4.8
3,1975,19024,8651.26,4051.66,742.5,3857.1,23519.27,623.8,9.5
3,1976,20277,8921.91,4185.4,761.38,3975.13,26158.59,660,7.1
3,1977,21410,9234.85,4316.52,793.54,4124.79,26716.93,695.6,6.6
3,1978,23063,9374.54,4405.68,821.01,4147.86,27428.45,732.7,6.4
3,1979,23501,9554.83,4483.21,859.23,4212.4,28394.22,749.4,6.2
3,1980,23210,9705.24,4531.36,890.41,4283.48,29476.51,742.3,7.6
3,1981,24134,9872.87,4608.72,916.68,4347.47,31235.95,740.1,9.1
3,1982,23462,9919.35,4681.5,905.92,4331.93,32008.74,720.1,9.8
3,1983,24415,9861.76,4662.68,934.14,4264.94,32385.62,741.3,10
3,1984,26512,9754.55,4654.37,934.6,4165.58,32625.51,780.2,8.9
3,1985,27159,9675.47,4639.3,947.04,4089.13,33229.46,797.1,8.7
3,1986,28168,9787.2,4652.71,960.66,4173.84,32889.3,813.8,8.7
4,1970,263933,128545.36,42961.31,17837.26,67746.79,172791.92,6946.2,7.2
4,1971,265600,132263.33,44768.37,18448.04,69046.92,180864.28,6917,8.8
4,1972,281159,134451.52,46045.52,18813.82,69592.17,187587.86,7209.9,7.6
4,1973,293735,135988.4,47064.46,19084.52,69839.43,193535.82,7621.9,7
4,1974,298408,136827.29,47572.52,19092.78,70162,204096.43,7834.3,7.7
4,1975,304518,138487.39,47699.42,19654.53,71133.44,213216.84,7847.2,9.9
4,1976,320160,139514.18,47568.65,20346.64,71598.89,221958.93,8154.2,9.2
4,1977,338040,139910.22,47137.99,21014.45,71757.78,226544.27,8599.7,8.2
4,1978,359603,139408.84,46472.4,21556.85,71379.6,233936.43,9199.8,7.1
4,1979,374928,140217.32,46132.47,22297.31,71787.54,243776.26,9664.6,6.2
4,1980,380221,139776.97,45597.88,22925.93,71253.16,255305.95,9848.8,6.8
4,1981,378436,139662.44,45042.91,23291.36,71328.17,286402.55,9985.3,7.4
