state,region,year,public,hwy,water,other,private,gsp,emp,unemp,lpcap
1,6,1970,15032.67,8.8991575,7.4119673,8.7080116,10.48553,10.254778,6.9182005,4.6999998,9.617981
1,6,1971,15501.94,8.9261112,7.4506726,8.7411337,10.526746,10.287899,6.929419,5.1999998,9.6487207
1,6,1972,15972.41,8.9574356,7.4757643,8.7706299,10.562827,10.351469,6.977561,4.6999998,9.6786184
1,6,1973,16406.26,8.9755869,7.4630246,8.8182144,10.598733,10.417209,7.0348282,3.9000001,9.7054186
1,6,1974,16762.67,8.9903822,7.4586763,8.8539925,10.646789,10.426706,7.0645881,5.5,9.7269096
1,6,1975,17316.26,9.0067825,7.4686675,8.9100132,10.691301,10.4224,7.0522017,7.6999998,9.7594013
1,6,1976,17732.859,9.0153217,7.4953976,8.9496155,10.8242,10.484697,7.0958934,6.8000002,9.7831745
1,6,1977,18111.93,9.0318918,7.5202942,8.9747639,10.841246,10.531109,7.146142,7.4000001,9.8043261
1,6,1978,18479.74,9.0490723,7.5809598,8.9882698,10.870548,10.595735,7.1978097,6.3000002,9.8244305
1,6,1979,18881.49,9.0642281,7.6410408,9.0068731,10.90643,10.620815,7.2167096,7.0999999,9.8459377
1,6,1980,19012.34,9.0668745,7.6678691,9.0131483,10.943573,10.60609,7.212368,8.8000002,9.8528433
1,6,1981,19118.52,9.0628643,7.7047715,9.0204849,10.941676,10.623885,7.2060804,11,9.8584127
1,6,1982,19118.25,9.0647526,7.7033868,9.0188484,10.968573,10.604801,7.1796889,14,9.8583984
1,6,1983,19122,9.0609665,7.710165,9.0214329,10.983494,10.651241,7.1920314,14,9.8585949
1,6,1984,19257.471,9.0660009,7.7120681,9.0319757,10.992838,10.717036,7.2354031,11,9.865654
1,6,1985,19433.359,9.07409,7.7200313,9.0424061,11.013502,10.754685,7.2633996,8.8999996,9.8747463
1,6,1986,19723.369,9.0840101,7.7445655,9.0596504,11.028886,10.787441,7.2884493,9.8000002,9.8895597
2,8,1970,10148.42,8.4243784,7.3950276,8.2849455,10.068408,9.867238,6.3051801,4.4000001,9.2250729
2,8,1971,10560.54,8.4557371,7.394702,8.3502483,10.123619,9.9541807,6.3654389,4.6999998,9.2648792
2,8,1972,10977.53,8.4862881,7.3868303,8.415185,10.168105,10.055737,6.4712639,4.1999998,9.303606
2,8,1973,11598.26,8.5098581,7.4072447,8.5145741,10.214812,10.136344,6.5715828,4.0999999,9.3586102
2,8,1974,12129.06,8.5313683,7.4253578,8.5903864,10.269153,10.154168,6.6147256,5.5999999,9.4033594
2,8,1975,12929.06,8.5493526,7.4758325,8.6996431,10.31703,10.123225,6.5918107,12,9.4672327
2,8,1976,13603.89,8.5659494,7.5550838,8.7708473,10.288211,10.167427,6.6316066,9.8000002,9.5181112
2,8,1977,14175.42,8.5864296,7.587554,8.8310547,10.31137,10.24388,6.6961699,8.1999998,9.5592651
2,8,1978,14812.04,8.6070337,7.6198716,8.8961401,10.346232,10.34374,6.7972708,6.0999999,9.6031952
